,UNEMPLOYED
,
,
,
"Barrow County, Georgia!!Estimate","1,671"
"Barrow County, Georgia!!Percent",2.40%
"Bartow County, Georgia!!Estimate","2,503"
"Bartow County, Georgia!!Percent",2.80%
"Bibb County, Georgia!!Estimate","4,446"
"Bibb County, Georgia!!Percent",3.60%
"Bulloch County, Georgia!!Estimate","1,718"
"Bulloch County, Georgia!!Percent",2.50%
"Carroll County, Georgia!!Estimate","2,960"
"Carroll County, Georgia!!Percent",3.00%
"Chatham County, Georgia!!Estimate","8,045"
"Chatham County, Georgia!!Percent",3.30%
"Cherokee County, Georgia!!Estimate","4,232"
"Cherokee County, Georgia!!Percent",1.90%
"Clarke County, Georgia!!Estimate","3,342"
"Clarke County, Georgia!!Percent",3.00%
"Clayton County, Georgia!!Estimate","7,734"
"Clayton County, Georgia!!Percent",3.40%
"Cobb County, Georgia!!Estimate","14,018"
"Cobb County, Georgia!!Percent",2.30%
"Columbia County, Georgia!!Estimate","3,302"
"Columbia County, Georgia!!Percent",2.60%
"Coweta County, Georgia!!Estimate","1,463"
"Coweta County, Georgia!!Percent",1.20%
"DeKalb County, Georgia!!Estimate","19,974"
"DeKalb County, Georgia!!Percent",3.30%
"Dougherty County, Georgia!!Estimate","3,825"
"Dougherty County, Georgia!!Percent",5.90%
"Douglas County, Georgia!!Estimate","3,034"
"Douglas County, Georgia!!Percent",2.60%
"Fayette County, Georgia!!Estimate","1,763"
"Fayette County, Georgia!!Percent",1.80%
"Floyd County, Georgia!!Estimate","1,503"
"Floyd County, Georgia!!Percent",1.90%
"Forsyth County, Georgia!!Estimate","4,244"
"Forsyth County, Georgia!!Percent",2.00%
"Fulton County, Georgia!!Estimate","26,831"
"Fulton County, Georgia!!Percent",3.00%
"Glynn County, Georgia!!Estimate","2,191"
"Glynn County, Georgia!!Percent",3.10%
"Gwinnett County, Georgia!!Estimate","20,172"
"Gwinnett County, Georgia!!Percent",2.70%
"Hall County, Georgia!!Estimate","4,368"
"Hall County, Georgia!!Percent",2.60%
"Henry County, Georgia!!Estimate","4,724"
"Henry County, Georgia!!Percent",2.40%
"Houston County, Georgia!!Estimate","3,129"
"Houston County, Georgia!!Percent",2.40%
"Lowndes County, Georgia!!Estimate","1,653"
"Lowndes County, Georgia!!Percent",1.80%
"Muscogee County, Georgia!!Estimate","5,088"
"Muscogee County, Georgia!!Percent",3.20%
"Newton County, Georgia!!Estimate","4,516"
"Newton County, Georgia!!Percent",4.90%
"Paulding County, Georgia!!Estimate","2,661"
"Paulding County, Georgia!!Percent",1.90%
"Richmond County, Georgia!!Estimate","6,999"
"Richmond County, Georgia!!Percent",4.20%
"Rockdale County, Georgia!!Estimate","3,430"
"Rockdale County, Georgia!!Percent",4.50%
"Troup County, Georgia!!Estimate","1,249"
"Troup County, Georgia!!Percent",2.20%
"Walker County, Georgia!!Estimate","1,075"
"Walker County, Georgia!!Percent",1.90%
"Walton County, Georgia!!Estimate","3,054"
"Walton County, Georgia!!Percent",3.70%
"Whitfield County, Georgia!!Estimate","1,465"
"Whitfield County, Georgia!!Percent",1.80%
