"Label (Grouping)","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error"
"All households","4.5%","±0.1","3.0%","±0.2","1.9%","±1.5","N","N","1.5%","±0.7","N","N","N","N","N","N","2.1%","±0.9","N","N","3.5%","±1.6","4.8%","±1.0","4.2%","±0.7","1.0%","±0.8","3.1%","±1.5","5.5%","±0.7","N","N","1.9%","±1.2","0.9%","±0.6","N","N","3.1%","±1.0","2.7%","±0.5","1.7%","±1.2","9.2%","±1.0","6.7%","±1.5","N","N","N","N","N","N","1.6%","±0.8","1.6%","±0.6","N","N","N","N","0.5%","±0.4","3.9%","±2.2","N","N","N","N","N","N","10.7%","±2.7"
"Households speaking --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Spanish","23.1%","±0.2","26.3%","±1.4","20.7%","±15.1","N","N","40.6%","±20.7","N","N","N","N","N","N","13.3%","±8.3","N","N","31.8%","±18.0","28.2%","±8.3","23.1%","±4.1","0.0%","±9.1","27.6%","±13.8","38.1%","±5.5","N","N","31.5%","±21.5","5.7%","±6.2","N","N","26.2%","±12.1","19.9%","±4.9","23.6%","±16.9","30.8%","±4.7","30.4%","±6.3","N","N","N","N","N","N","25.7%","±12.8","21.1%","±8.9","N","N","N","N","3.3%","±6.2","29.2%","±17.9","N","N","N","N","N","N","44.3%","±10.4"
"    Other Indo-European languages","15.6%","±0.3","10.7%","±1.7","7.8%","±15.3","N","N","15.0%","±23.4","N","N","N","N","N","N","22.6%","±12.7","N","N","0.0%","±13.1","11.7%","±12.3","10.7%","±4.8","0.0%","±12.6","0.0%","±24.1","18.3%","±5.7","N","N","17.1%","±18.9","0.0%","±14.0","N","N","9.7%","±9.5","7.2%","±3.9","0.0%","±29.1","15.6%","±4.8","4.3%","±7.1","N","N","N","N","N","N","16.9%","±25.9","2.0%","±3.5","N","N","N","N","7.0%","±8.4","25.7%","±32.5","N","N","N","N","N","N","0.0%","±26.2"
"    Asian and Pacific Island languages","26.5%","±0.3","26.8%","±2.6","0.0%","±37.1","N","N","31.0%","±26.2","N","N","N","N","N","N","21.3%","±10.2","N","N","17.2%","±11.5","33.9%","±12.1","22.4%","±7.5","31.0%","±21.4","42.8%","±29.6","31.0%","±6.9","N","N","0.0%","±43.5","18.0%","±13.7","N","N","16.9%","±8.0","26.5%","±7.4","21.7%","±38.5","33.1%","±5.6","24.3%","±25.6","N","N","N","N","N","N","14.2%","±22.8","9.7%","±9.2","N","N","N","N","21.3%","±19.7","44.7%","±31.4","N","N","N","N","N","N","59.2%","±43.1"
"    Other languages","17.8%","±0.5","16.9%","±4.1","0.0%","±100.0","N","N","0.0%","±48.4","N","N","N","N","N","N","0.0%","±52.7","N","N","28.2%","±38.8","15.0%","±14.5","15.9%","±11.7","0.0%","±19.1","-","**","31.5%","±9.8","N","N","0.0%","±47.3","0.0%","±46.4","N","N","0.0%","±34.2","11.3%","±7.7","0.0%","±42.3","14.3%","±9.6","0.0%","±58.4","N","N","N","N","N","N","0.0%","±67.2","12.4%","±18.1","N","N","N","N","0.0%","±47.8","0.0%","±81.2","N","N","N","N","N","N","0.0%","±100.0"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Language status","6.2%","(X)","6.1%","(X)","6.2%","(X)","4.1%","(X)","4.7%","(X)","4.6%","(X)","7.6%","(X)","4.6%","(X)","5.8%","(X)","4.4%","(X)","5.8%","(X)","5.1%","(X)","5.4%","(X)","7.2%","(X)","15.4%","(X)","7.5%","(X)","4.8%","(X)","4.7%","(X)","13.0%","(X)","6.4%","(X)","6.0%","(X)","6.1%","(X)","7.1%","(X)","6.3%","(X)","6.0%","(X)","5.9%","(X)","5.0%","(X)","4.8%","(X)","5.2%","(X)","5.5%","(X)","8.0%","(X)","7.2%","(X)","6.6%","(X)","8.1%","(X)","6.4%","(X)","3.5%","(X)","11.0%","(X)","5.8%","(X)"
"    Language status (speak a language other than English)","5.8%","(X)","5.1%","(X)","4.7%","(X)","0.7%","(X)","6.3%","(X)","3.9%","(X)","9.6%","(X)","11.8%","(X)","5.4%","(X)","5.5%","(X)","3.2%","(X)","2.7%","(X)","4.5%","(X)","15.6%","(X)","7.9%","(X)","4.2%","(X)","0.0%","(X)","4.7%","(X)","7.0%","(X)","4.4%","(X)","5.3%","(X)","4.2%","(X)","3.8%","(X)","5.8%","(X)","5.1%","(X)","5.9%","(X)","6.5%","(X)","1.2%","(X)","2.4%","(X)","5.2%","(X)","8.9%","(X)","9.6%","(X)","10.8%","(X)","16.5%","(X)","12.7%","(X)","0.0%","(X)","20.6%","(X)","5.1%","(X)"
"    Ability to speak English","6.2%","(X)","5.5%","(X)","5.0%","(X)","0.7%","(X)","6.0%","(X)","4.6%","(X)","8.5%","(X)","14.5%","(X)","4.9%","(X)","6.2%","(X)","3.2%","(X)","2.6%","(X)","4.9%","(X)","16.0%","(X)","9.8%","(X)","4.3%","(X)","0.0%","(X)","4.7%","(X)","8.7%","(X)","3.8%","(X)","5.5%","(X)","4.6%","(X)","4.6%","(X)","6.1%","(X)","5.7%","(X)","5.6%","(X)","8.1%","(X)","1.2%","(X)","4.1%","(X)","6.0%","(X)","8.9%","(X)","10.1%","(X)","10.2%","(X)","16.5%","(X)","12.7%","(X)","15.2%","(X)","23.3%","(X)","5.7%","(X)"
