"Label (Grouping)","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error"
"All households","4.5%","±0.1","3.0%","±0.2","3.5%","±1.8","N","N","N","N","N","N","N","N","N","N","1.9%","±0.7","2.1%","±1.0","3.0%","±1.4","4.8%","±1.3","4.1%","±0.6","3.3%","±2.1","N","N","6.5%","±0.8","N","N","4.5%","±2.1","N","N","N","N","2.2%","±0.8","3.5%","±0.6","0.9%","±0.7","7.2%","±1.0","8.3%","±2.1","0.7%","±0.5","1.4%","±1.0","2.0%","±1.1","1.5%","±0.7","1.5%","±0.7","N","N","N","N","1.3%","±0.6","3.1%","±1.2","N","N","N","N","1.0%","±0.7","N","N"
"Households speaking --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Spanish","23.1%","±0.2","26.0%","±1.6","44.6%","±22.5","N","N","N","N","N","N","N","N","N","N","35.1%","±13.6","22.2%","±11.4","25.8%","±14.1","26.8%","±8.4","23.9%","±4.6","15.4%","±20.1","N","N","40.1%","±6.0","N","N","24.0%","±16.8","N","N","N","N","12.1%","±6.5","27.9%","±5.3","8.5%","±7.9","23.8%","±4.3","40.3%","±9.8","6.9%","±6.8","16.9%","±15.1","12.8%","±9.4","9.8%","±13.1","13.9%","±8.9","N","N","N","N","11.3%","±8.1","40.8%","±13.2","N","N","N","N","8.4%","±16.4","N","N"
"    Other Indo-European languages","15.5%","±0.3","12.5%","±1.9","8.9%","±18.3","N","N","N","N","N","N","N","N","N","N","1.4%","±2.7","6.9%","±9.8","3.3%","±6.0","14.3%","±12.7","13.9%","±5.1","27.5%","±21.0","N","N","21.4%","±7.4","N","N","49.4%","±26.2","N","N","N","N","6.3%","±4.6","11.3%","±3.6","7.7%","±12.9","10.0%","±3.3","12.7%","±12.6","6.6%","±8.1","18.0%","±14.6","12.0%","±17.6","23.0%","±13.8","14.2%","±11.4","N","N","N","N","11.2%","±11.8","0.0%","±15.3","N","N","N","N","19.0%","±17.3","N","N"
"    Asian and Pacific Island languages","26.7%","±0.3","26.0%","±2.7","6.8%","±10.1","N","N","N","N","N","N","N","N","N","N","11.7%","±8.3","0.0%","±11.9","45.6%","±19.8","34.8%","±14.2","21.7%","±7.8","31.0%","±22.2","N","N","43.7%","±9.6","N","N","88.6%","±20.0","N","N","N","N","16.9%","±10.2","22.8%","±8.0","0.0%","±22.9","31.8%","±6.5","14.0%","±14.5","0.0%","±17.7","0.0%","±23.8","19.1%","±24.9","29.4%","±25.0","22.5%","±18.6","N","N","N","N","31.1%","±20.6","12.1%","±21.8","N","N","N","N","33.9%","±29.8","N","N"
"    Other languages","17.0%","±0.5","17.2%","±3.5","-","**","N","N","N","N","N","N","N","N","N","N","0.0%","±41.6","0.0%","±31.8","-","**","14.3%","±11.3","8.5%","±7.2","0.0%","±43.4","N","N","38.8%","±9.2","N","N","0.0%","±28.3","N","N","N","N","0.0%","±33.5","19.0%","±11.0","0.0%","±61.0","4.9%","±4.0","30.3%","±47.5","7.5%","±14.3","0.0%","±49.5","-","**","0.0%","±100.0","0.0%","±50.1","N","N","N","N","0.0%","±59.8","0.0%","±82.8","N","N","N","N","0.0%","±84.0","N","N"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Language status","3.7%","(X)","4.3%","(X)","2.9%","(X)","3.2%","(X)","4.9%","(X)","2.3%","(X)","7.7%","(X)","1.5%","(X)","3.2%","(X)","4.3%","(X)","3.1%","(X)","4.1%","(X)","3.9%","(X)","4.9%","(X)","11.1%","(X)","3.8%","(X)","7.3%","(X)","5.2%","(X)","6.1%","(X)","4.4%","(X)","3.9%","(X)","3.9%","(X)","8.6%","(X)","4.1%","(X)","3.8%","(X)","4.2%","(X)","3.1%","(X)","2.1%","(X)","5.4%","(X)","3.4%","(X)","4.1%","(X)","3.2%","(X)","7.8%","(X)","3.8%","(X)","4.5%","(X)","3.0%","(X)","4.3%","(X)","2.5%","(X)"
"    Language status (speak a language other than English)","3.4%","(X)","3.2%","(X)","1.9%","(X)","0.4%","(X)","5.5%","(X)","0.1%","(X)","0.5%","(X)","5.3%","(X)","0.8%","(X)","2.6%","(X)","2.1%","(X)","4.0%","(X)","3.6%","(X)","5.8%","(X)","4.2%","(X)","1.6%","(X)","4.2%","(X)","5.6%","(X)","1.5%","(X)","1.1%","(X)","1.9%","(X)","2.7%","(X)","9.6%","(X)","4.4%","(X)","1.4%","(X)","2.1%","(X)","3.1%","(X)","4.7%","(X)","9.0%","(X)","0.4%","(X)","4.2%","(X)","1.5%","(X)","9.8%","(X)","1.8%","(X)","0.0%","(X)","0.0%","(X)","2.5%","(X)","1.0%","(X)"
"    Ability to speak English","4.1%","(X)","3.8%","(X)","1.9%","(X)","2.4%","(X)","5.7%","(X)","0.1%","(X)","2.2%","(X)","8.1%","(X)","1.5%","(X)","4.2%","(X)","3.8%","(X)","4.1%","(X)","4.2%","(X)","7.9%","(X)","4.6%","(X)","2.3%","(X)","4.2%","(X)","5.9%","(X)","2.2%","(X)","1.1%","(X)","1.9%","(X)","3.6%","(X)","20.2%","(X)","4.8%","(X)","2.0%","(X)","1.9%","(X)","4.1%","(X)","4.7%","(X)","10.3%","(X)","0.4%","(X)","4.2%","(X)","3.3%","(X)","10.6%","(X)","1.5%","(X)","0.9%","(X)","0.0%","(X)","1.6%","(X)","1.5%","(X)"
